Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
AleksandrówKujawski	aleksandrowski	kujawsko-pomorskie	7,23	12487	1727
AleksandrówŁódzki	zgierski	łódzkie	13,82	21224	1536
Alwernia	chrzanowski	małopolskie	8,88	3435	387
Andrychów	wadowicki	małopolskie	10,33	20993	2032
Annopol	kraśnicki	lubelskie	7,73	2624	339
Augustów	augustowski	podlaskie	80,90	30482	377
Babimost	zielonogórski	lubuskie	3,65	3999	1096
Baborów	głubczycki	opolskie	11,86	3009	254
BaranówSandomierski	tarnobrzeski	podkarpackie	9,15	1463	160
Barcin	żniński	kujawsko-pomorskie	3,70	7655	2069
Barczewo	olsztyński	warmińsko-mazurskie	4,58	7280	1590
Bardo	ząbkowicki	dolnośląskie	4,71	2705	574
Barlinek	myśliborski	zachodniopomorskie	17,55	14180	808
Bartoszyce	bartoszycki	warmińsko-mazurskie	11,79	24432	2072
Barwice	szczecinecki	zachodniopomorskie	7,52	3800	505
Bełchatów	bełchatowski	łódzkie	34,64	59305	1712
Bełżyce	lubelski	lubelskie	23,46	6700	286
Będzin	będziński	śląskie	37,37	58205	1558
Biała	prudnicki	opolskie	14,72	2496	170
BiałaPiska	piski	warmińsko-mazurskie	3,24	4124	1273
BiałaPodlaska	BiałaPodlaska[a]	lubelskie	49,40	57471	1163
BiałaRawska	rawski	łódzkie	9,53	3237	340
Białobrzegi	białobrzeski	mazowieckie	7,51	7110	947
Białogard	białogardzki	zachodniopomorskie	25,73	24571	955
BiałyBór	szczecinecki	zachodniopomorskie	12,82	2210	172
Białystok	Białystok[a]	podlaskie	102,13	295459	2893
Biecz	gorlicki	małopolskie	17,71	4728	267
Bielawa	dzierżoniowski	dolnośląskie	36,21	30987	856
BielskPodlaski	bielski	podlaskie	27,01	26249	972
Bielsko-Biała	Bielsko-Biała[a]	śląskie	124,51	173013	1390
Bieruń	bieruńsko-lędziński	śląskie	40,49	19636	485
Bierutów	oleśnicki	dolnośląskie	8,36	4980	596
Bieżuń	żuromiński	mazowieckie	12,07	1890	157
Biłgoraj	biłgorajski	lubelskie	21,10	26935	1277
Biskupiec	olsztyński	warmińsko-mazurskie	5,00	10600	2120
Bisztynek	bartoszycki	warmińsko-mazurskie	2,16	2477	1147
Blachownia	częstochowski	śląskie	36,66	9830	268
Błaszki	sieradzki	łódzkie	1,62	2241	1383
Błażowa	rzeszowski	podkarpackie	4,23	2188	517
Błonie	warszawskizachodni	mazowieckie	9,09	12479	1373
Bobolice	koszaliński	zachodniopomorskie	4,77	4204	881
Bobowa	gorlicki	małopolskie	7,18	3006	419
Bochnia	bocheński	małopolskie	29,87	30104	1008
Bodzentyn	kielecki	świętokrzyskie	8,65	2255	261
Bogatynia	zgorzelecki	dolnośląskie	59,88	18299	306
Boguchwała	rzeszowski	podkarpackie	9,11	5905	648
